index,tweet_id,veracity,text,favorite_count,retweet_count,created_at
100003,1254923219359936512,false,"Excellent, devastating story. Anyone who says covid-19 is “just like the flu” needs to read this https://t.co/c1UaBU9lU1",0,0,2020-04-27 23:59:45+00:00
100003,1256064242572300293,false,"Had a grown man today tell me: 
1. He refuses to watch news, all liars, all of em
2. Can’t believe any numbers, all… https://t.co/XvDKCvKbKm",11,0,2020-05-01 03:33:46+00:00
100003,1253362977828294657,false,"When will you apologize for hawking hydroxycoriquine, or the Seth Rich conspiracy theories, or that Covid 19 is jus… https://t.co/8a1oACSSA9",1,0,2020-04-23 16:39:54+00:00
100003,1253183292947550208,false,"#IsAMassiveUnderstatement 
covid 19 is just like the flu https://t.co/AkgyNHXfab",2,0,2020-04-23 04:45:54+00:00
100003,1252636346134355968,false,just had an encounter with the most ignorant customer smh💀 this woman comes up and says we shouldn't be wearing mas… https://t.co/67FUSLsYAk,4,0,2020-04-21 16:32:32+00:00
100003,1252607413846491136,false,"'We Are Not A Communist Nation': Rally Organizer Denies COVID Facts, Demands Death |
&amp; Argued on Monday that COVID-… https://t.co/LTz8Mt2e40",1,1,2020-04-21 14:37:34+00:00
100003,1254476000425017344,false,@TeachOnTheRight @JPL_Reader @tedcruz Please show me some research that states Covid-19 is just like the flu. Preferably CDC/ECDC reasearch,0,0,2020-04-26 18:22:40+00:00
100003,1251988266838081537,false,@_KJKelly @THEshabbs I'm not at all suggesting that Covid-19 is just like the flu. It is clearly worse both in term… https://t.co/mZ5IbQGdve,0,0,2020-04-19 21:37:18+00:00
100003,1252683209390739456,false,"ONS weekly deaths in London, UK, updated for wk 15; the trend continues unabated. A visual aid for those who contin… https://t.co/BWFmGVw8FJ",4,1,2020-04-21 19:38:45+00:00
100003,1252068558676393984,false,"Go ahead, tell me COVId-19 is just like the flu. https://t.co/8kVPjsekvB",13,7,2020-04-20 02:56:21+00:00
100003,1251470505267396608,false,#CoronavirusUSA deaths in a week compared with deaths from other causes. Next time someone says #Covid_19 is just l… https://t.co/IQ3ascO47J,0,0,2020-04-18 11:19:54+00:00
100003,1252555497946972160,false,"Read this thread if you think COVID-19 is ""just like the flu"" and appreciate actual science https://t.co/Oeb9wo06YP",0,0,2020-04-21 11:11:16+00:00
100003,1252230982775652354,false,@ZiadSatNam @biden_says @ronnieg1002 @OfficialJLD Ditto for Twitter. So happy for the Mute button.🙂 Fascinating how… https://t.co/oaKoUzk3YG,2,0,2020-04-20 13:41:46+00:00
100003,1250923196116803586,false,"Oh my fucking.. to read it is one thing but the way he said it...

Reminder this is the “doctor” y’all were screami… https://t.co/LWV5kQqWrM",0,0,2020-04-16 23:05:05+00:00
100003,1255181275977015296,false,"@evolnemesis @BabeTruth2 No. Faith based learning is where science is forgotten, and as such this misconception tha… https://t.co/t6dvoyyJpM",1,0,2020-04-28 17:05:10+00:00
100003,1252630938770649089,false,"Can you tell fact from fiction?
1. The immediate risk of becoming seriously ill from Covid-19 is thought to be low.… https://t.co/RBewlcQX4b",0,0,2020-04-21 16:11:03+00:00
100003,1256013502298370048,false,@HughJassman6 @cutzie80 @jim_walkup @SenPolehanki So trumpesque. Now with 61k dead in 3 months and counting you're… https://t.co/72vmTcOf8r,2,0,2020-05-01 00:12:09+00:00
100003,1252428594413842437,false,@TamerELG Can't wait for Fox News to praise this decision and then in the next segment talk bout how America needs… https://t.co/gyUwCfzr6e,1,0,2020-04-21 02:47:00+00:00
100002,1254164579459854336,false,@5151mpk1 @grumpyMichael @ScottMorrisonMP have you seen this? I thought you and your experts said children cannot get Covid-19?,0,0,2020-04-25 21:45:11+00:00
100003,1252622099987877889,false,"@Katojana @Justinray06 @SteveRustad1 @ToddJCefaratti Because covid-19 is just like the flu?

You are proving the po… https://t.co/bLtxuWF7oi",0,0,2020-04-21 15:35:55+00:00
100003,1250848833069875209,false,"Yeah, Covid-19 is just like the flu. https://t.co/SfqjwPUfI0",212,72,2020-04-16 18:09:36+00:00
100003,1252847501251538944,false,"Next time someone tries to tell you COVID-19 is just like the flu, remind them of these numbers https://t.co/p2G67suZMY",5,0,2020-04-22 06:31:35+00:00
