index,tweet_id,veracity,text,favorite_count,retweet_count,created_at
124,1248318630842040331,false,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/qTA4FHrzeh",0,0,2020-04-09 18:35:28+00:00
55,1250166483570905088,false,"🎵🎺 🥁🎤Blue Skies....smiling at me 😎 
                       Nothing but blue skies 
                       Do I see… https://t.co/rEgSBdx1l6",0,0,2020-04-14 20:58:11+00:00
55,1249178669056131073,false,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News Tha… https://t.co/kja9v7mWXi",0,0,2020-04-12 03:32:57+00:00
531,1234461445020176385,false,People of color may be Immune to the Coronavirus because of Melanin – blackmentravels https://t.co/NAuaBUrI6G,0,0,2020-03-02 12:51:58+00:00
55,1249211245623783424,false,"[NEWS] Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended https://t.co/OWJzKlGci3",1,0,2020-04-12 05:42:24+00:00
55,1250142746389540864,false,"Huh? Is this real? Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended… https://t.co/PgaVDNXThr",0,0,2020-04-14 19:23:51+00:00
124,1248120246939992064,false,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/5WBNq8Weiv",0,0,2020-04-09 05:27:10+00:00
124,1248207920602456064,false,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes
Excellent article exposi… https://t.co/Drd2Iwy5IP",1,1,2020-04-09 11:15:33+00:00
124,1248199567562223619,false,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes… https://t.co/OhunwFIbjr",6,5,2020-04-09 10:42:21+00:00
55,1249439553343172610,false,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News Tha… https://t.co/595g1m74vd",0,0,2020-04-12 20:49:37+00:00
55,1249367725773746177,false,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended
Posted onApril 11,… https://t.co/w4gXkpXKqu",0,1,2020-04-12 16:04:12+00:00
124,1248582228478693377,false,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/hdexPUZWiT",0,0,2020-04-10 12:02:55+00:00
55,1249411295377416192,false,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News Tha… https://t.co/OkXmiyKE1q",0,0,2020-04-12 18:57:20+00:00
55,1254390256461365248,false,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News Tha… https://t.co/l3Ge1GzLte",1,0,2020-04-26 12:41:57+00:00
55,1251163393790099457,false,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News Tha… https://t.co/HPPIpRU2b4",0,0,2020-04-17 14:59:33+00:00
55,1249410299884711936,false,"@Inevitable_ET Whats happened to this tweet?
pentagon-confirms-coronavirus-accidently-got-into-chemtrail-supply-chain-spraying-is-suspended/",3,0,2020-04-12 18:53:23+00:00
124,1248596379909402626,false,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/8Oz7VDazAr",0,0,2020-04-10 12:59:09+00:00
55,1249410487542001665,false,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended – Aviation News Tha… https://t.co/dYAuJEqX9I",0,0,2020-04-12 18:54:07+00:00
124,1248282037506760704,false,"Why Big Pharma, Fauci, and Bill Gates Want to Ban Hydroxychloroquine - Dr. Carole H Haynes https://t.co/UcakUZ4AUY",0,0,2020-04-09 16:10:04+00:00
55,1249397211273875462,false,"Pentagon Confirms Coronavirus Accidently Got Into Chemtrail Supply Chain, Spraying is Suspended - https://t.co/3zxHUQr09E",0,0,2020-04-12 18:01:22+00:00
